buying,maint,doors,persons,lug_boot,safety,acceptability
3,4,2,1,1,3,unacc
3,4,2,1,2,3,unacc
3,4,2,1,3,1,unacc
3,4,2,1,3,2,unacc
3,4,2,2,1,1,unacc
3,4,2,2,1,3,unacc
3,4,2,2,2,1,unacc
3,4,2,2,2,3,unacc
3,4,2,3,2,2,unacc
3,4,2,3,3,1,unacc
3,4,3,1,1,2,unacc
3,4,3,3,2,3,unacc
3,4,3,3,3,2,unacc
3,4,4,1,1,1,unacc
3,4,4,2,1,2,unacc
3,4,4,2,3,1,unacc
3,4,4,3,1,1,unacc
3,3,1,2,3,2,acc
3,3,1,3,2,3,acc
3,3,2,1,2,2,unacc
3,3,2,1,2,3,unacc
3,3,2,2,3,1,unacc
3,3,2,3,1,3,acc
3,3,2,3,3,1,unacc
3,3,3,1,2,1,unacc
3,3,3,1,2,3,unacc
3,3,3,1,3,2,unacc
3,3,3,3,1,1,unacc
3,3,3,3,1,3,acc
3,3,3,3,3,1,unacc
3,3,4,1,1,3,unacc
3,3,4,1,2,3,unacc
3,3,4,1,3,3,unacc
3,3,4,2,1,3,acc
3,3,4,2,2,3,acc
3,3,4,3,1,3,acc
3,2,1,1,1,2,unacc
3,2,1,1,1,3,unacc
3,2,1,2,1,1,unacc
3,2,1,3,2,2,unacc
3,2,1,3,2,3,acc
3,2,2,1,1,2,unacc
3,2,2,2,1,2,unacc
3,2,2,2,2,3,acc
3,2,2,2,3,3,acc
3,2,2,3,1,1,unacc
3,2,2,3,1,2,unacc
3,2,3,1,1,3,unacc
3,2,3,2,2,3,acc
3,2,3,2,3,2,acc
3,2,3,3,3,3,acc
3,2,4,1,2,1,unacc
3,2,4,1,3,3,unacc
3,1,1,1,1,1,unacc
3,1,1,2,1,1,unacc
3,1,1,2,2,2,unacc
3,1,1,2,2,3,acc
3,1,1,3,1,2,unacc
3,1,1,3,2,2,unacc
3,1,2,1,1,1,unacc
3,1,2,1,2,1,unacc
3,1,2,1,2,3,unacc
3,1,3,1,1,2,unacc
3,1,3,1,3,3,unacc
3,1,3,2,1,3,acc
3,1,3,2,2,2,acc
3,1,3,3,2,3,acc
3,1,4,1,2,2,unacc
3,1,4,2,2,1,unacc
3,1,4,2,3,2,acc
3,1,4,3,3,3,acc
2,4,1,1,3,3,unacc
2,4,1,2,2,2,unacc
2,4,1,2,3,1,unacc
2,4,1,3,2,2,unacc
2,4,1,3,3,1,unacc
2,4,2,1,1,2,unacc
2,4,2,1,1,3,unacc
2,4,2,1,3,3,unacc
2,4,2,2,1,1,unacc
2,4,2,2,2,1,unacc
2,4,2,2,2,2,unacc
2,4,2,3,1,2,unacc
2,4,2,3,2,1,unacc
2,4,2,3,3,3,acc
2,4,3,1,1,1,unacc
2,4,3,1,1,3,unacc
2,4,3,1,2,2,unacc
2,4,3,1,2,3,unacc
2,4,3,2,1,3,acc
2,4,3,2,3,3,acc
2,4,3,3,1,2,unacc
2,4,4,1,1,1,unacc
2,4,4,1,1,2,unacc
2,4,4,1,2,3,unacc
2,4,4,1,3,1,unacc
2,4,4,1,3,3,unacc
2,4,4,3,1,3,acc
2,4,4,3,2,3,acc
2,4,4,3,3,2,acc
2,3,1,1,1,3,unacc
2,3,1,1,3,1,unacc
2,3,1,2,2,3,acc
2,3,1,2,3,3,acc
2,3,1,3,1,2,unacc
2,3,2,2,2,2,unacc
2,3,2,2,3,2,acc
2,3,2,3,1,1,unacc
2,3,2,3,3,3,acc
2,3,3,1,1,3,unacc
2,3,3,1,2,3,unacc
2,3,3,1,3,2,unacc
2,3,3,2,1,2,unacc
2,3,3,2,2,3,acc
2,3,3,2,3,3,acc
2,3,3,3,1,2,unacc
2,3,3,3,2,2,acc
2,3,4,1,3,1,unacc
2,3,4,1,3,3,unacc
2,3,4,2,1,2,unacc
2,3,4,3,3,1,unacc
2,3,4,3,3,3,acc
2,2,1,1,3,2,unacc
2,2,1,2,1,2,acc
2,2,1,2,1,3,acc
2,2,1,2,2,1,unacc
2,2,1,2,2,3,acc
2,2,1,2,3,3,vgood
2,2,1,3,1,2,unacc
2,2,1,3,2,3,acc
2,2,1,3,3,2,acc
2,2,2,1,2,2,unacc
2,2,2,1,3,3,unacc
2,2,2,3,2,2,acc
2,2,3,1,3,2,unacc
2,2,3,2,1,1,unacc
2,2,3,3,2,2,acc
2,2,4,1,1,1,unacc
2,2,4,1,2,3,unacc
2,2,4,2,1,3,acc
2,2,4,2,2,2,acc
2,2,4,2,3,3,vgood
2,2,4,3,3,3,vgood
2,1,1,2,1,1,unacc
2,1,1,2,2,2,acc
2,1,1,3,2,1,unacc
2,1,1,3,2,3,good
2,1,1,3,3,1,unacc
2,1,2,1,1,2,unacc
2,1,2,1,1,3,unacc
2,1,2,3,1,1,unacc
2,1,2,3,1,2,acc
2,1,2,3,2,1,unacc
2,1,2,3,3,1,unacc
2,1,2,3,3,3,vgood
2,1,3,1,2,3,unacc
2,1,3,2,2,2,good
2,1,3,2,3,1,unacc
2,1,3,3,2,3,vgood
2,1,3,3,3,2,good
2,1,4,1,1,1,unacc
2,1,4,1,3,2,unacc
2,1,4,2,1,3,good
2,1,4,3,2,3,vgood
2,1,4,3,3,2,good
2,1,4,3,3,3,vgood
1,4,1,1,1,1,unacc
1,4,1,2,3,2,acc
1,4,1,3,3,2,acc
1,4,2,1,2,1,unacc
1,4,2,2,1,3,acc
1,4,2,2,2,2,unacc
1,4,2,3,1,1,unacc
1,4,2,3,1,2,unacc
1,4,2,3,1,3,acc
1,4,2,3,2,3,acc
1,4,3,1,1,2,unacc
1,4,3,1,1,3,unacc
1,4,3,1,2,1,unacc
1,4,3,1,2,3,unacc
1,4,3,1,3,3,unacc
1,4,3,2,3,2,acc
1,4,3,3,2,2,acc
1,4,3,3,3,3,acc
1,4,4,1,2,1,unacc
1,4,4,1,2,3,unacc
1,4,4,1,3,2,unacc
1,4,4,2,1,3,acc
1,4,4,2,3,2,acc
1,4,4,3,1,1,unacc
1,4,4,3,3,1,unacc
1,3,1,1,1,1,unacc
1,3,1,1,1,3,unacc
1,3,1,1,3,2,unacc
1,3,1,1,3,3,unacc
1,3,1,2,2,3,acc
1,3,1,3,2,3,acc
1,3,1,3,3,2,acc
1,3,2,1,3,2,unacc
1,3,2,2,1,1,unacc
1,3,2,2,3,1,unacc
1,3,2,3,1,1,unacc
1,3,2,3,2,1,unacc
1,3,2,3,3,1,unacc
1,3,3,1,1,2,unacc
1,3,3,1,1,3,unacc
1,3,3,1,3,2,unacc
1,3,3,2,3,1,unacc
1,3,3,3,2,1,unacc
1,3,4,1,1,1,unacc
1,3,4,1,2,1,unacc
1,3,4,1,3,3,unacc
1,3,4,2,2,3,vgood
1,3,4,2,3,1,unacc
1,3,4,3,1,2,acc
1,3,4,3,3,2,acc
1,2,1,1,1,3,unacc
1,2,1,1,2,1,unacc
1,2,1,1,2,3,unacc
1,2,1,2,2,3,good
1,2,1,2,3,1,unacc
1,2,2,1,2,1,unacc
1,2,2,2,1,2,acc
1,2,3,1,1,1,unacc
1,2,3,2,1,2,acc
1,2,3,3,2,1,unacc
1,2,3,3,2,2,good
1,2,3,3,3,2,good
1,2,4,2,1,1,unacc
1,2,4,2,2,3,vgood
1,2,4,2,3,1,unacc
1,2,4,3,1,3,good
1,1,1,1,1,3,unacc
1,1,1,2,2,1,unacc
1,1,1,3,1,1,unacc
1,1,1,3,1,2,unacc
1,1,1,3,1,3,unacc
1,1,1,3,2,3,good
1,1,2,1,1,2,unacc
1,1,2,2,1,1,unacc
1,1,2,2,3,1,unacc
1,1,2,2,3,2,good
1,1,2,2,3,3,vgood
1,1,2,3,3,1,unacc
1,1,2,3,3,3,vgood
1,1,3,2,2,3,vgood
1,1,3,3,2,2,good
1,1,4,1,3,2,unacc
1,1,4,1,3,3,unacc
1,1,4,2,2,2,good
1,1,4,3,3,1,unacc
1,1,4,3,3,2,good
1,1,4,3,3,3,vgood
